Review_Year,Complaint_Type,Event_Date,Location,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,PSS_Finding,CRB_Finding,CRB_Individual_Sustained,CRB_Split,Chief_Finding,Chief_Individual_Sustained,CRB_Chief,Concurrence,Chief,Exclusion,Chief_Action_Sustained,Chief_Allegation_Sustained,Chief_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,Notes,FID
2014,Citizen,2014-03-11T00:00:00.000Z,15 Charlotte St,219,14-0243.01.C.01,14-0243.01.C,1,14-0243.01,Force,3,14-0243,3,Sustained,Sustained,1,0,Sustained,1,Sustained-Sustained,1,1,0,1,1,1,1,1,1,,483
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.06.A.03,14-0475.06.A,3,14-0475.06,Procedure,3,14-0475,27,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,484
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.01.A.03,14-0475.01.A,3,14-0475.01,Procedure,3,14-0475,3,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,0,0,,485
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.A.01,14-0475.02.A,1,14-0475.02,Force,1,14-0475,4,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,486
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.A.02,14-0475.02.A,2,14-0475.02,Force,2,14-0475,5,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,487
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.A.03,14-0475.02.A,3,14-0475.02,Force,3,14-0475,6,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,488
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.B.01,14-0475.02.B,1,14-0475.02,Force,4,14-0475,7,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,489
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.B.02,14-0475.02.B,2,14-0475.02,Force,5,14-0475,8,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,490
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.B.03,14-0475.02.B,3,14-0475.02,Force,6,14-0475,9,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,491
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.C.01,14-0475.02.C,1,14-0475.02,Force,7,14-0475,10,Exonerated,Unprovable,0,0,Exonerated,0,Unprovable-Exonerated,0,0,0,0,0,0,0,0,0,,492
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.C.02,14-0475.02.C,2,14-0475.02,Force,8,14-0475,11,Exonerated,Unprovable,0,0,Exonerated,0,Unprovable-Exonerated,0,0,0,0,0,0,0,0,0,,493
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.C.03,14-0475.02.C,3,14-0475.02,Force,9,14-0475,12,Exonerated,Unprovable,0,0,Exonerated,0,Unprovable-Exonerated,0,0,0,0,0,0,0,0,0,,494
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.D.01,14-0475.02.D,1,14-0475.02,Force,10,14-0475,13,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,495
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.D.02,14-0475.02.D,2,14-0475.02,Force,11,14-0475,14,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,496
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.02.D.03,14-0475.02.D,3,14-0475.02,Force,12,14-0475,15,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,497
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.03.A.01,14-0475.03.A,1,14-0475.03,Procedure,1,14-0475,16,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,498
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.03.A.02,14-0475.03.A,2,14-0475.03,Procedure,2,14-0475,17,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,499
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.03.A.03,14-0475.03.A,3,14-0475.03,Procedure,3,14-0475,18,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,500
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.04.A.01,14-0475.04.A,1,14-0475.04,Procedure,1,14-0475,19,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,501
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.04.A.02,14-0475.04.A,2,14-0475.04,Procedure,2,14-0475,20,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,502
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.04.A.03,14-0475.04.A,3,14-0475.04,Procedure,3,14-0475,21,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,503
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.05.A.01,14-0475.05.A,1,14-0475.05,Procedure,1,14-0475,22,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,504
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.05.A.02,14-0475.05.A,2,14-0475.05,Procedure,2,14-0475,23,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,505
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.05.A.03,14-0475.05.A,3,14-0475.05,Procedure,3,14-0475,24,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,506
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.06.A.01,14-0475.06.A,1,14-0475.06,Procedure,1,14-0475,25,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,507
